"","xvar","yvar","spec","k","fill"
"1",38,"pet-peese",0,15,"0"
"2",38,"puniform",0,15,"0"
"3",38,"fe",0,15,"0"
"4",38,"reml",1,15,"15"
"5",38,"rve",0,15,"0"
"6",38,"3-level",0,15,"0"
"7",38,"modeled",0,15,"0"
"8",38,"aggregate",0,15,"0"
"9",38,"ignore",1,15,"15"
"10",38,"all rob",0,15,"0"
"11",38,"include_best",0,15,"0"
"12",38,"exclude_worst",1,15,"15"
"13",38,"all effects",0,15,"0"
"14",38,"not_outlier",1,15,"15"
"15",38,"all wf1",0,15,"0"
"16",38,"wf1_b",0,15,"0"
"17",38,"wf1_a",1,15,"15"
"18",32,"pet-peese",0,15,"0"
"19",32,"puniform",0,15,"0"
"20",32,"fe",0,15,"0"
"21",32,"reml",1,15,"15"
"22",32,"rve",0,15,"0"
"23",32,"3-level",0,15,"0"
"24",32,"modeled",0,15,"0"
"25",32,"aggregate",0,15,"0"
"26",32,"ignore",1,15,"15"
"27",32,"all rob",0,15,"0"
"28",32,"include_best",0,15,"0"
"29",32,"exclude_worst",1,15,"15"
"30",32,"all effects",0,15,"0"
"31",32,"not_outlier",1,15,"15"
"32",32,"all wf1",0,15,"0"
"33",32,"wf1_b",1,15,"15"
"34",32,"wf1_a",0,15,"0"
"35",37,"pet-peese",0,30,"0"
"36",37,"puniform",0,30,"0"
"37",37,"fe",0,30,"0"
"38",37,"reml",1,30,"30"
"39",37,"rve",0,30,"0"
"40",37,"3-level",0,30,"0"
"41",37,"modeled",0,30,"0"
"42",37,"aggregate",0,30,"0"
"43",37,"ignore",1,30,"30"
"44",37,"all rob",0,30,"0"
"45",37,"include_best",0,30,"0"
"46",37,"exclude_worst",1,30,"30"
"47",37,"all effects",0,30,"0"
"48",37,"not_outlier",1,30,"30"
"49",37,"all wf1",1,30,"30"
"50",37,"wf1_b",0,30,"0"
"51",37,"wf1_a",0,30,"0"
"52",5,"pet-peese",0,5,"0"
"53",5,"puniform",0,5,"0"
"54",5,"fe",0,5,"0"
"55",5,"reml",1,5,"5"
"56",5,"rve",0,5,"0"
"57",5,"3-level",0,5,"0"
"58",5,"modeled",0,5,"0"
"59",5,"aggregate",0,5,"0"
"60",5,"ignore",1,5,"5"
"61",5,"all rob",0,5,"0"
"62",5,"include_best",1,5,"5"
"63",5,"exclude_worst",0,5,"0"
"64",5,"all effects",0,5,"0"
"65",5,"not_outlier",1,5,"5"
"66",5,"all wf1",0,5,"0"
"67",5,"wf1_b",0,5,"0"
"68",5,"wf1_a",1,5,"5"
"69",13,"pet-peese",0,5,"0"
"70",13,"puniform",0,5,"0"
"71",13,"fe",0,5,"0"
"72",13,"reml",1,5,"5"
"73",13,"rve",0,5,"0"
"74",13,"3-level",0,5,"0"
"75",13,"modeled",0,5,"0"
"76",13,"aggregate",0,5,"0"
"77",13,"ignore",1,5,"5"
"78",13,"all rob",0,5,"0"
"79",13,"include_best",1,5,"5"
"80",13,"exclude_worst",0,5,"0"
"81",13,"all effects",0,5,"0"
"82",13,"not_outlier",1,5,"5"
"83",13,"all wf1",0,5,"0"
"84",13,"wf1_b",1,5,"5"
"85",13,"wf1_a",0,5,"0"
"86",10,"pet-peese",0,10,"0"
"87",10,"puniform",0,10,"0"
"88",10,"fe",0,10,"0"
"89",10,"reml",1,10,"10"
"90",10,"rve",0,10,"0"
"91",10,"3-level",0,10,"0"
"92",10,"modeled",0,10,"0"
"93",10,"aggregate",0,10,"0"
"94",10,"ignore",1,10,"10"
